elo,games,remakes,playing_time,kills,deaths,assists,gold,pentakills,wards,minions,damage,champion_1,champion_2,champion_3
Diamond III,2,0,42.3,9,6,7,16.1k,0,13,275,22.2k,Anivia,Brand,Nami
Diamond IV,79,1,1.5,448,377,760,860.5k,0,828,10.9k,1.2m,Lee Sin,Ezreal,Yasuo
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Fizz,Ahri,Yasuo
Diamond II,57,3,1.2,488,432,333,730.6k,0,624,10.8k,1.4m,Talon,Morgana,Lux
Master,462,5,8.8,3.8k,2.0k,2.9k,5.3m,2,4.1k,77.0k,8.9m,Katarina,Jinx,Orianna
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Bronze II,97,13,2.1,454,592,803,1.0m,0,1.2k,12.9k,1.6m,Leona,Kled,Morgana
Bronze III,26,5,13.3,32,130,260,194.7k,0,625,489,178.6k,Nami,Neeko,Morgana
Bronze II,4,0,2.4,5,35,69,37.5k,0,77,79,44.6k,Morgana,Braum,Janna
Bronze II,11,1,5.7,77,54,52,145.8k,0,81,2.4k,193.1k,Shaco,Tryndamere,Ryze
Bronze II,2,0,1.1,17,15,23,25.2k,0,23,313,55.6k,Ezreal,Zac,Leona
Gold III,65,6,1.5,216,286,921,655.0k,0,1.5k,3.8k,843.3k,Aatrox,Ahri,Akali
Bronze II,10,0,4.7,38,63,35,97.1k,0,58,1.6k,144.2k,Anivia,Irelia,Azir
Bronze III,35,5,18.7,239,220,229,404.0k,0,304,4.8k,532.6k,Evelynn,Kayle,Urgot
Unranked,17,0,8.4,114,89,105,203.4k,0,171,3.0k,310.0k,Darius,Yasuo,Blitzcrank
Unranked,2,1,1.2,14,5,9,26.8k,0,27,419,55.3k,Jinx,Jhin,Akali
Silver II,15,1,7.5,56,108,150,143.2k,0,177,1.3k,184.4k,Quinn,Karma,Miss Fortune
Silver I,171,12,3.6,894,1.1k,983,2.0m,0,1.7k,26.7k,2.0m,Udyr,Brand,Ashe
Silver III,80,6,1.6,453,479,518,811.1k,0,406,10.0k,984.0k,Riven,Jax,Neeko
Silver I,25,0,12.7,171,161,182,306.8k,0,253,4.8k,518.7k,Lux,Sivir,Irelia
Silver I,12,2,5.9,60,65,79,140.9k,0,122,2.0k,152.6k,Jax,Darius,Rengar
Silver II,47,4,23.8,421,306,300,603.4k,0,428,7.8k,1.0m,Yasuo,Sejuani,Kayn
Unranked,4,0,1.7,12,25,18,34.2k,0,31,492,48.9k,Blitzcrank,Braum,Garen
Silver III,9,0,4.2,67,63,21,98.8k,0,59,1.4k,161.5k,Akali,Aatrox,Blitzcrank
Silver II,15,2,7.6,94,71,118,179.1k,0,179,2.4k,271.3k,Caitlyn,Ezreal,Ashe
Silver II,1,0,35.1,7,5,6,12.0k,0,18,89,16.3k,Kayle,Kindred,Zyra
Silver II,6,0,3.6,37,37,42,76.4k,0,59,886,88.1k,Jinx,Singed,Kindred
Silver III,56,4,1.2,409,359,306,629.1k,0,489,8.6k,1.0m,Talon,Annie,Morgana
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Ahri,Garen,Caitlyn
Silver III,120,8,2.6,558,639,991,1.3m,0,1.8k,16.1k,1.9m,Rumble,Sion,Aatrox
Unranked,3,0,1.3,4,6,44,25.3k,0,33,86,36.5k,Sona,Nami,Morgana
Bronze I,51,5,1.2,422,395,396,623.0k,0,409,6.6k,1.2m,Nasus,Varus,Miss Fortune
Silver IV,55,7,1.2,460,319,486,662.5k,0,508,7.6k,1.1m,Evelynn,Vi,Lulu
Silver III,52,2,1.1,372,287,407,595.2k,0,559,7.8k,974.3k,Thresh,Vayne,Shaco
Silver I,15,0,7.9,96,81,122,182.2k,0,234,2.4k,435.1k,"VelKoz",Lux,Sona
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Shaco,Master Yi,Rammus
Bronze IV,72,6,1.6,436,500,614,830.9k,0,615,10.2k,1.3m,Ashe,Tristana,Jinx
Silver II,10,1,4.8,58,68,75,103.9k,0,65,1.2k,128.4k,Lee Sin,Zed,Twitch
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Bard,Morgana,Janna
Silver II,228,16,4.9,2.0k,1.5k,1.4k,2.8m,0,2.7k,35.3k,4.3m,"KhaZix",Master Yi,Vayne
Gold II,184,8,3.7,1.2k,759,1.2k,2.2m,0,1.6k,29.5k,2.4m,Sona,Hecarim,Olaf
Gold III,150,11,3.2,1.1k,804,1.3k,1.9m,1,1.8k,26.0k,3.1m,Karthus,Hecarim,Kayn
Gold II,8,0,4.0,37,70,32,84.1k,0,77,1.3k,105.9k,Katarina,Lux,Ahri
Gold I,45,1,23.6,232,239,447,514.3k,0,490,7.3k,841.8k,Ryze,Zilean,Jarvan IV
Unranked,162,7,3.4,1.1k,674,720,1.9m,0,1.9k,29.8k,2.9m,Akali,Trundle,Yorick
Unranked,2,0,51.7,20,10,8,22.7k,0,12,251,25.3k,Shaco,Master Yi,Thresh
Gold IV,46,0,23.8,224,343,537,487.2k,0,684,3.8k,833.4k,Draven,Xin Zhao,Lux
Gold II,11,0,4.9,78,45,81,119.5k,0,64,1.7k,218.3k,"VelKoz",Caitlyn,Mordekaiser
Gold III,25,3,12.6,212,170,156,320.1k,0,281,4.6k,487.7k,Vayne,Jinx,Riven
Gold I,11,0,5.5,44,67,106,104.3k,0,132,1.2k,164.7k,Jinx,Lux,Ahri
Platinum IV,23,1,10.0,175,97,164,286.4k,0,163,4.5k,503.7k,Riven,Diana,Ezreal
Gold II,4,0,1.6,26,19,20,38.9k,0,24,542,53.2k,Vayne,Lucian,Lee Sin
Gold IV,70,4,1.5,519,424,474,866.2k,0,704,12.6k,1.4m,Draven,Jinx,Ezreal
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Sona,Miss Fortune,Brand
Gold IV,9,1,4.4,53,51,68,95.6k,0,90,1.1k,123.7k,Lee Sin,Vayne,Riven
Gold I,27,1,13.2,171,188,195,296.3k,1,334,3.8k,455.9k,Yasuo,Katarina,Thresh
Gold IV,129,4,2.7,1.0k,895,843,1.5m,0,1.1k,19.2k,2.7m,Akali,Yasuo,Garen
Unranked,101,3,2.2,550,473,858,1.1m,0,1.3k,12.0k,1.6m,Sona,Yasuo,Lulu
Platinum IV,70,3,1.4,531,452,560,745.3k,0,766,7.8k,1.1m,Thresh,Blitzcrank,Jinx
Gold I,16,0,7.5,29,70,148,121.5k,0,264,311,94.4k,Leona,Nami,Thresh
Gold III,33,2,15.4,200,202,216,358.9k,0,295,5.0k,590.0k,Vladimir,Mordekaiser,Aatrox
Silver I,18,0,9.6,165,76,164,249.9k,0,212,3.5k,527.1k,Malzahar,Ezreal,Morgana
Gold II,29,0,14.8,149,141,329,323.7k,0,397,3.7k,425.0k,Ekko,Caitlyn,Lee Sin
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Yasuo,Zed,Master Yi
Unranked,19,0,9.9,89,88,116,227.0k,0,202,3.5k,360.6k,Aatrox,Ahri,Akali
Gold IV,33,1,16.1,329,184,218,434.3k,0,233,5.5k,677.5k,Fiora,Draven,Vayne
Gold I,134,8,2.9,1.1k,732,1.1k,1.7m,0,1.3k,22.0k,2.6m,Vayne,Lee Sin,Twisted Fate
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Darius,Aatrox,Ahri
Gold III,5,1,2.5,8,32,54,43.3k,0,90,301,46.8k,"VelKoz",Lucian,Tryndamere
Gold I,69,4,1.5,494,442,500,891.6k,0,700,13.3k,1.5m,Kayle,Janna,Riven
Platinum IV,242,12,4.9,1.4k,1.5k,1.5k,2.6m,0,2.3k,37.0k,5.4m,Teemo,Veigar,Yasuo
Unranked,21,1,10.2,153,98,135,237.1k,0,157,3.5k,387.9k,Riven,Yasuo,Lucian
Platinum IV,214,6,4.3,502,1.4k,2.6k,1.9m,0,2.5k,18.6k,1.8m,Zac,Jinx,Thresh
Platinum II,18,1,9.2,93,104,224,197.5k,0,222,2.8k,319.7k,Shen,Ezreal,Lee Sin
Platinum IV,7,0,3.7,46,48,64,79.2k,0,110,865,117.5k,Thresh,Karma,Ezreal
Platinum I,3,0,1.4,2,15,36,17.8k,0,21,70,12.4k,Nasus,Tristana,Ezreal
Platinum II,16,0,7.2,104,74,146,179.9k,0,175,2.4k,276.9k,Vayne,Thresh,Azir
Platinum I,5,0,2.2,18,25,33,44.8k,0,38,743,87.4k,Wukong,Kassadin,Kayle
Gold III,13,0,6.6,34,69,179,108.6k,0,210,189,101.1k,Thresh,Darius,Janna
Platinum I,37,3,18.7,240,221,327,423.3k,0,502,5.2k,665.1k,Morgana,Master Yi,Lux
Platinum II,3,0,1.3,4,15,31,22.4k,0,52,232,26.6k,Thresh,Morgana,Braum
Platinum IV,92,4,1.8,948,518,586,1.2m,1,532,16.2k,2.0m,Vayne,Riven,Rengar
Platinum III,37,2,17.9,182,133,346,378.9k,0,310,4.9k,468.2k,Kayle,Lux,Blitzcrank
Platinum IV,69,2,1.4,395,441,704,736.3k,0,604,8.6k,857.7k,Hecarim,Skarner,Master Yi
Platinum II,92,3,1.7,1.0k,700,414,1.2m,5,721,14.7k,2.1m,Master Yi,"KhaZix",Rengar
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Garen,Ashe,Aatrox
Gold I,73,2,1.6,639,511,485,861.9k,0,679,9.5k,1.7m,Tahm Kench,Swain,Warwick
Platinum IV,165,5,3.4,778,867,1.6k,1.7m,0,2.5k,17.5k,2.4m,Zyra,Morgana,Poppy
Platinum I,2,0,41.3,6,7,5,14.4k,0,13,191,10.4k,Kassadin,Kayle,Zilean
Diamond III,38,1,17.5,348,189,217,478.6k,0,338,6.9k,739.0k,Riven,Yasuo,Darius
Silver I,13,1,7.4,63,82,107,143.4k,0,184,1.9k,276.5k,Illaoi,Lux,Blitzcrank
Diamond III,17,1,8.0,72,139,103,177.5k,0,152,2.9k,259.6k,Nocturne,Anivia,Ekko
Diamond IV,49,0,22.9,282,246,365,476.3k,0,844,3.5k,785.1k,Rakan,Azir,Yasuo
Diamond III,95,2,1.8,274,561,1.1k,837.0k,0,2.3k,4.1k,1.1m,Sona,Riven,Yasuo
Diamond IV,46,1,23.5,297,209,396,544.6k,0,545,7.3k,841.2k,Caitlyn,Lucian,Thresh
Diamond IV,144,5,2.9,1.1k,881,873,1.7m,0,1.3k,22.1k,2.8m,Urgot,Thresh,Kled
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Katarina,Brand,Nami
Unranked,24,0,10.9,113,85,164,245.9k,0,169,3.9k,348.8k,Vayne,Lucian,Riven
Diamond IV,375,20,7.4,1.1k,1.6k,4.0k,3.4m,0,8.3k,24.9k,3.5m,Sona,Thresh,Caitlyn
Diamond IV,22,1,10.9,88,125,246,225.6k,0,246,2.3k,290.5k,Jax,Gangplank,Talon
Diamond IV,57,2,1.1,279,358,439,539.3k,0,1.2k,5.5k,685.3k,Yasuo,Thresh,Zed
Diamond III,6,0,2.8,18,32,42,50.0k,0,84,556,76.8k,Anivia,Brand,Nami
Diamond IV,101,1,1.9,562,484,909,1.1m,0,1.1k,13.8k,1.4m,Lee Sin,Ezreal,Yasuo
Diamond II,162,6,3.3,1.2k,1.1k,981,2.0m,0,1.8k,29.9k,3.5m,Talon,Morgana,Lux
Diamond IV,5,0,1.9,20,17,41,41.0k,0,46,522,57.1k,Elise,Janna,Ahri
Master,491,6,9.4,4.0k,2.1k,3.1k,5.6m,2,4.4k,80.7k,9.3m,Katarina,Jinx,Orianna
Bronze III,94,9,2.0,653,844,697,1.0m,0,915,10.0k,1.7m,Katarina,Xin Zhao,Morgana
Bronze II,46,3,1.0,106,333,525,395.1k,0,456,2.9k,492.2k,Morgana,Soraka,Kayle
Gold III,65,6,1.5,216,286,921,655.0k,0,1.5k,3.8k,843.3k,Vayne,Katarina,Ezreal
Silver I,181,13,3.8,945,1.1k,1.0k,2.1m,0,1.8k,28.3k,2.1m,Udyr,Brand,Ashe
Bronze I,73,7,1.7,578,541,649,860.4k,0,623,8.2k,1.6m,Nasus,Varus,Miss Fortune
Silver III,50,1,1.1,291,214,431,578.3k,0,585,7.7k,859.2k,Gnar,"KhaZix",Jinx
Gold IV,10,0,4.9,77,31,72,123.3k,0,73,1.7k,176.9k,Ahri,Lulu,Gnar
Silver II,310,19,6.6,2.6k,2.1k,1.9k,3.8m,0,3.7k,48.5k,5.9m,"KhaZix",Master Yi,Vayne
Gold IV,82,2,1.7,157,375,1.1k,680.9k,0,1.1k,1.4k,724.6k,Janna,Yasuo,Karma
Gold II,59,2,1.2,450,423,315,637.1k,0,571,8.3k,1.1m,Katarina,Lux,Ahri
Platinum IV,51,3,23.5,389,223,389,653.0k,0,413,10.1k,1.2m,Riven,Diana,Ezreal
Gold IV,72,4,1.5,525,447,494,886.3k,0,740,12.8k,1.4m,Draven,Jinx,Ezreal
Gold IV,18,1,8.7,108,97,124,191.6k,0,167,2.4k,244.1k,Lee Sin,Vayne,Riven
Platinum IV,108,5,2.1,813,724,882,1.2m,0,1.1k,13.0k,1.8m,Thresh,Blitzcrank,Jinx
Unranked,19,0,9.9,89,88,116,227.0k,0,202,3.5k,360.6k,Yasuo,Aatrox,Yorick
Platinum II,33,0,15.4,203,151,332,364.5k,0,362,4.8k,591.8k,Vayne,Thresh,Azir
Platinum II,8,0,3.5,15,34,85,62.2k,0,146,465,70.3k,Thresh,Morgana,Braum
Platinum IV,94,4,1.8,956,541,595,1.2m,1,547,16.6k,2.0m,Vayne,Riven,Twitch
Platinum IV,2,1,1.3,22,20,19,30.7k,0,17,380,69.7k,Aatrox,Ahri,Akali
Platinum IV,30,0,14.0,95,146,247,253.2k,0,481,1.5k,419.0k,Nautilus,Brand,Leona
Platinum I,2,0,41.3,6,7,5,14.4k,0,13,191,10.4k,Aatrox,Ahri,Akali
Diamond IV,109,3,2.1,439,556,1.1k,953.1k,0,1.9k,6.2k,1.3m,Rakan,Azir,Yasuo
Diamond III,100,1,1.9,171,507,1.2k,764.1k,0,2.4k,1.5k,772.1k,Anivia,Brand,Nami
Diamond IV,111,1,2.1,598,538,1.0k,1.2m,0,1.2k,15.2k,1.5m,Lee Sin,Ezreal,Yasuo
Diamond II,214,10,4.3,1.6k,1.5k,1.3k,2.6m,0,2.4k,39.0k,4.6m,Talon,Morgana,Lux
Diamond IV,60,3,1.2,340,284,460,728.6k,0,622,11.2k,1.2m,Elise,Janna,Ahri
Master,494,6,9.5,4.0k,2.1k,3.1k,5.6m,2,4.4k,81.3k,9.4m,Katarina,Jinx,Orianna
Bronze II,126,19,2.8,569,738,1.0k,1.3m,0,1.5k,16.7k,2.1m,Leona,Kled,Morgana
Bronze II,48,3,1.1,108,340,557,412.0k,0,481,2.9k,513.1k,Morgana,Soraka,Kayle
Bronze II,32,1,16.3,64,216,449,274.5k,0,464,748,269.1k,Morgana,Braum,Janna
Bronze II,50,3,1.1,269,281,391,555.7k,1,413,7.2k,723.1k,Shaco,Tryndamere,Ryze
Gold III,67,6,1.5,233,292,947,682.8k,0,1.6k,4.2k,919.7k,Vayne,Katarina,Ezreal
Unranked,8,1,4.6,63,40,74,104.6k,0,89,1.5k,186.8k,Jinx,Jhin,Akali
Silver II,44,3,22.8,223,321,480,442.8k,0,783,2.5k,836.7k,Quinn,Karma,Miss Fortune
Silver I,183,13,3.8,954,1.1k,1.1k,2.1m,0,1.8k,28.6k,2.1m,Udyr,Brand,Ashe
Unranked,13,1,6.6,72,76,84,146.8k,0,120,2.1k,229.1k,Irelia,Ekko,Yasuo
Silver II,7,0,4.1,39,41,56,85.2k,0,76,898,96.0k,Jinx,Singed,Kindred
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Ahri,Caitlyn,Garen
Bronze I,83,7,1.9,652,615,697,977.7k,0,717,9.4k,1.7m,Nasus,Varus,Miss Fortune
Gold IV,17,0,8.2,117,55,135,195.5k,0,147,2.7k,266.3k,Ahri,Lulu,Gnar
Silver II,365,25,7.8,3.0k,2.5k,2.2k,4.4m,0,4.3k,56.9k,6.9m,"KhaZix",Master Yi,Vayne
Gold IV,90,2,1.9,204,428,1.1k,784.5k,0,1.1k,2.8k,896.7k,Janna,Yasuo,Karma
Gold IV,76,5,1.6,553,479,520,933.1k,0,780,13.5k,1.5m,Draven,Jinx,Ezreal
